Wavelength(nm)	Absorbance
482.347229	-0.000000
482.801208	-0.000000
483.255188	-0.000000
483.709106	-0.000000
484.163025	-0.000000
484.616943	-0.000000
485.070801	-0.000000
485.524658	-0.000000
485.978455	-0.000000
486.432251	-0.000000
486.886047	-0.000000
487.339783	-0.000000
487.793518	-0.000000
488.247192	-0.000000
488.700867	-0.000000
489.154541	-0.000000
489.608154	-0.000000
490.061768	-0.000000
490.515320	-0.000000
490.968872	-0.000000
491.422424	-0.000000
491.875916	-0.000000
492.329407	-0.000000
492.782837	-0.000000
493.236267	-0.000000
493.689636	-0.000000
494.143005	-0.000000
494.596375	-0.000000
495.049744	0.023094
495.503052	0.017404
495.956299	-0.000000
496.409546	-0.000000
496.862793	-0.000000
497.315979	-0.000000
497.769165	-0.000000
498.222351	-0.000000
498.675476	-0.000000
499.128601	-0.000000
499.581665	-0.000000
500.034729	-0.000000
500.487793	-0.000000
500.940796	-0.000000
501.393738	-0.000000
501.846741	-0.000000
502.299683	-0.000000
502.752563	-0.000000
503.205444	-0.000000
503.658325	-0.000000
504.111145	-0.000000
504.563965	0.020159
505.016785	-0.000000
505.469543	-0.000000
505.922241	-0.000000
506.375000	-0.000000
506.827698	-0.000000
507.280334	-0.000000
507.732971	-0.000000
508.185608	-0.000000
508.638184	-0.000000
509.090759	-0.000000
509.543335	-0.000000
509.995850	-0.000000
510.448303	-0.000000
510.900757	-0.000000
511.353210	-0.000000
511.805664	-0.000000
512.258057	0.016453
512.710449	0.016083
513.162781	-0.000000
513.615112	-0.000000
514.067383	-0.000000
514.519653	-0.000000
514.971924	-0.000000
515.424133	-0.000000
515.876343	-0.000000
516.328491	-0.000000
516.780640	-0.000000
517.232788	-0.000000
517.684875	-0.000000
518.136963	-0.000000
518.588989	-0.000000
519.041016	-0.000000
519.493042	-0.000000
519.945007	-0.000000
520.396973	-0.000000
520.848877	-0.000000
521.300781	-0.000000
521.752625	-0.000000
522.204529	-0.000000
522.656372	-0.000000
523.108154	0.015964
523.559937	-0.000000
524.011658	0.017883
524.463379	-0.000000
524.915100	-0.000000
525.366760	-0.000000
525.818420	-0.000000
526.270081	-0.000000
526.721680	-0.000000
527.173279	-0.000000
527.624817	-0.000000
528.076355	-0.000000
528.527832	-0.000000
528.979309	-0.000000
529.430786	-0.000000
529.882202	-0.000000
530.333618	-0.000000
530.784973	-0.000000
531.236328	-0.000000
531.687683	-0.000000
532.138977	-0.000000
532.590271	-0.000000
533.041565	-0.000000
533.492737	-0.000000
533.943970	-0.000000
534.395142	-0.000000
534.846313	0.015770
535.297424	-0.000000
535.748535	-0.000000
536.199646	-0.000000
536.650696	-0.000000
537.101746	-0.000000
537.552734	-0.000000
538.003723	-0.000000
538.454651	-0.000000
538.905640	-0.000000
539.356506	-0.000000
539.807434	-0.000000
540.258301	-0.000000
540.709106	-0.000000
541.159912	-0.000000
541.610718	-0.000000
542.061462	-0.000000
542.512207	-0.000000
542.962891	-0.000000
543.413574	-0.000000
543.864258	-0.000000
544.314880	-0.000000
544.765503	0.010685
545.216064	0.014745
545.666626	-0.000000
546.117188	0.012809
546.567688	0.008965
547.018188	0.015604
547.468628	-0.000000
547.919067	-0.000000
548.369446	-0.000000
548.819885	-0.000000
549.270203	-0.000000
549.720581	-0.000000
550.170898	-0.000000
550.621155	-0.000000
551.071411	-0.000000
551.521667	-0.000000
551.971863	-0.000000
552.422058	-0.000000
552.872192	-0.000000
553.322327	-0.000000
553.772461	-0.000000
554.222534	-0.000000
554.672607	0.011668
555.122620	-0.000000
555.572632	0.018173
556.022644	-0.000000
556.472595	0.015459
556.922546	0.026668
